ArraySize, ExecutionTime
1, 2500
2, 3548
3, 1404
4, 1297
5, 1803
6, 1994
7, 2324
8, 2895
9, 3077
10, 4124
11, 4860
12, 4986
13, 5748
14, 5468
15, 14530
16, 8777
17, 7993
18, 9862
19, 15471
20, 10513
21, 8210
22, 8192
23, 10447
24, 9739
25, 14226
26, 10701
27, 13339
28, 15300
29, 13752
30, 32144
31, 13156
32, 31355
33, 10523
34, 20181
35, 14786
36, 12776
37, 12508
38, 15823
39, 17275
40, 10297
41, 4397
42, 4288
43, 4073
44, 4373
45, 3843
46, 4154
47, 6271
48, 4592
49, 4636
50, 4388
51, 4540
52, 4970
53, 4869
54, 5342
55, 3494
56, 3588
57, 3783
58, 3397
59, 3418
60, 3418
61, 3756
62, 4262
63, 3938
64, 4690
65, 6091
66, 6859
67, 6620
68, 6537
69, 6036
70, 6048
71, 6698
72, 8400
73, 5918
74, 6633
75, 6953
76, 7155
77, 5493
78, 4486
79, 4993
80, 5003
81, 4913
82, 4863
83, 13971
84, 5310
85, 5277
86, 8026
87, 7536
88, 7387
89, 8311
90, 8380
91, 13864
92, 8997
93, 8353
94, 9316
95, 9090
96, 6359
97, 10959
98, 10044
99, 10279
100, 8977
Average, 7805

